Name,Link,Regulation Status,Regulation Details,Rating
Abshire-Smith,https://www.allfxbrokers.com/forex-brokers/abshire-smith,YES,Financial Conduct Authority,0
Accent Forex Company,https://www.allfxbrokers.com/forex-brokers/accent-forex-company,YES,International Business Companies Act of Republic of Seychelles,0
ActivTrades,https://www.allfxbrokers.com/forex-brokers/activtrades,YES,FCA,4.5
Admiral Markets Group,https://www.allfxbrokers.com/forex-brokers/admiral-markets-group,YES,"UK License (FCA: Firm Ref № 595450), EU License (EFSA: license № 4.1-1/46 - Estonia), Australian Financial Services Licence (ASIC: AFSL no. 410681), Cyprus license (CySEC: No 201/13)",5.0
ADS Securities LLC,https://www.allfxbrokers.com/forex-brokers/ads-securities-llc,YES,Central Bank United Arab Emirates,0
ADS Securities London,https://www.allfxbrokers.com/forex-brokers/ads-securities-london,YES,FCA,0
Advanced Markets,https://www.allfxbrokers.com/forex-brokers/advanced-markets,YES,ASIC (License #444649),0
AG-Markets,https://www.allfxbrokers.com/forex-brokers/ag-markets,YES,FMA - New Zealand Regulated Broker. AG-MARKETS.COM is a brand of Advanced Global Markets Ltd. Advanced Global Markets Ltd. is incorporated in New Zealand’s companies register under number 4674959 and Advanced Global Markets Inc. is due fully registered with IBC registration number 21668 in Saint Vincent and the Grenadines. Performance Trade Ltd. Is incorporated in the UK’s Companies House under registration number 9282556.,1.8
AGM Markets,https://www.allfxbrokers.com/forex-brokers/agm-markets,YES,CySEC,0
AITS FX,https://www.allfxbrokers.com/forex-brokers/aits-fx,No,-,0
AL Trade Inc,https://www.allfxbrokers.com/forex-brokers/al-trade-inc,No,N/A,0
Alfa Financial,https://www.allfxbrokers.com/forex-brokers/alfa-financial,YES,UAE (Alfa Financial is licensed and regulated by the Central Bank of the United Arab Emirates under License No. 126/5/95),4.3
ALFA FINANCIALS,https://www.allfxbrokers.com/forex-brokers/alfa-financials,YES,South African Financial Services Board (FSB License No. 45695).,0
Alfa Trade UK Ltd,https://www.allfxbrokers.com/forex-brokers/alfa-trade-uk-ltd,YES,FCA no. 611346,0
Alfa-Forex,https://www.allfxbrokers.com/forex-brokers/alfa-forex,YES,CySEC,0
Alpari,https://www.allfxbrokers.com/forex-brokers/alpari,YES,"NFA, FSA of St.Vincent, IFSC Belize",0
Amana Capital,https://www.allfxbrokers.com/forex-brokers/amana-capital,YES,"(FCA, CySec, BDL)",0
AMarkets,https://www.allfxbrokers.com/forex-brokers/amarkets,YES,Financial Commission,4.1
AMEGA,https://www.allfxbrokers.com/forex-brokers/amega,No,-,0
Amenda,https://www.allfxbrokers.com/forex-brokers/amenda,YES,FCMC - Amenda Markets trade with pure DMA is a trademark of Amenda Markets AS IBS. Amenda Markets AS IBS is licensed and regulated by the Financial and Capital Market Commission of Latvia – the FCMC (License number: 06.06.11.506/420) and is a Member of the Investor Compensation Scheme (ICS).,0
Anzo Capital Limited,https://www.allfxbrokers.com/forex-brokers/anzo-capital-limited,YES,"IFSC - Anzo Capital Limited is a well-capitalized firm regulated by International Financial Services Commission of Belize, registration no: IFSC/60/482/TS/19.",0
ArgusFx,https://www.allfxbrokers.com/forex-brokers/argusfx,YES,"CYSEC, MIFID",0
Assets FX,https://www.allfxbrokers.com/forex-brokers/assets-fx,No,"AssetsFx Trading Ltd. is registered and licensed as securities dealer by Ministry of Finance and Economic Management, Republic of Vanuatu, registration number 40102.",0
ATC BROKERS,https://www.allfxbrokers.com/forex-brokers/atc-brokers,YES,"FCA, NFA",0
ATFX,https://www.allfxbrokers.com/forex-brokers/atfx,YES,"CySEC. ATFXGM.eu (‘ATFX’) is a trading name of Positiva Markets (CY) Ltd (‘PositivaFX’), Reg.No.: HE 340674, which is a regulated investment services firm authorised in the conduct of its activities by the Cyprus Securities and Exchange Commission (‘CySEC’) under the license no. 285/15. PositivaFX operates in accordance with the Markets in Financial Instruments Directive (MiFID) of the European Union.",0
Atiora Limited,https://www.allfxbrokers.com/forex-brokers/atiora-limited,YES,Financial Services Authority (FSA) in ST. Vincent and the Grenadines (SVG FSA 22938/10/15),0
Atlas Capital FX,https://www.allfxbrokers.com/forex-brokers/atlas-capital-fx,YES,"Cysec (License No 085/07), FCA UK (Registration No. 480859) - ""The Cyprus Securities and Exchange Commission (CySEC) suspended the Cyprus Investment Firm (CIF) authorisation of Atlas Capital Financial Services Ltd, the parent of Forex broker ACFX, operating via acfx.com, due to the company’s possible non-compliance at all times with the authorization and operating conditions.""",0
Atom8-Vantage Global Prime LLP,https://www.allfxbrokers.com/forex-brokers/atom8-vantage-global-prime-llp,YES,"FCA - Vantage Global Prime LLP is authorised and regulated by the Financial Conduct Authority. FRN: 590299. Atom8 is a trading name of Vantage Global Prime LLP (Company No. OC376560) having its registered office at Birchin Court, 20 Birchin Lane, London EC3V 9DU.",0
ATS MARKETS GLOBAL,https://www.allfxbrokers.com/forex-brokers/ats-markets-global,YES,IFSC,0
Ausprime-LTtrader Ltd,https://www.allfxbrokers.com/forex-brokers/ausprime-lttrader-ltd,YES,"AUSPRIME is a Tradename of Lttrader Limited is an Investment Firm incorporated and registered under the laws of the Republic of Cyprus, with a certificate of Registration number HE348274. AUSPRIME is authorized and regulated by the Cyprus Securities and Exchange Commission under the license number 350/17 in accordance with the Markets in Financial Instruments directive (MiFiD II).",4.5
AVATRADE,https://www.allfxbrokers.com/forex-brokers/avatrade,YES,"Central Bank of Ireland (Reference No.: C53877), MIFID, JFCA (License No.: 1574), ASIC (License No.: 406684), FSC - BVI",3.0
Axiory,https://www.allfxbrokers.com/forex-brokers/axiory,YES,IFSC (Belize),0
Axiory Europe,https://www.allfxbrokers.com/forex-brokers/axiory-europe,YES,CySEC,0
AxiTrader,https://www.allfxbrokers.com/forex-brokers/axitrader,YES,"ASIC, FCA",0
Back Bay Markets,https://www.allfxbrokers.com/forex-brokers/back-bay-markets,No,N/A,0
BAXTER-FX,https://www.allfxbrokers.com/forex-brokers/baxter-fx,YES,ASIC,0
BCapitalsFX,https://www.allfxbrokers.com/forex-brokers/bcapitalsfx,YES,FSA,0
BCR,https://www.allfxbrokers.com/forex-brokers/bcr,YES,ASIC - Registration no. 328794,0
BCS Forex,https://www.allfxbrokers.com/forex-brokers/bcs-forex,No,"The service is provided by BCS Forex Ltd., a company registered in Saint Vincent and the Grenadines, in accordance with the applicable law.",0
Billion Capitals,https://www.allfxbrokers.com/forex-brokers/billion-capitals,No,-,0
Black Bull Group Limited-BlackBull Markets,https://www.allfxbrokers.com/forex-brokers/black-bull-group-limited-blackbull-markets,YES,Financial Service Provider (New Zealand): FSP403326,0
Blackwell Global,https://www.allfxbrokers.com/forex-brokers/blackwell-global,YES,"ASIC, CySEC, MiFID, FCA Registered, FSP",0
BLITZBROKERS,https://www.allfxbrokers.com/forex-brokers/blitzbrokers,YES,BLITZBROKERS is an Introducing broker for VantageFX an ASIC regulated broker.,0
Blueberry Markets,https://www.allfxbrokers.com/forex-brokers/blueberry-markets,YES,ASIC - Blueberry Markets Group is a trading name of Eightcap Pty Ltd (ABN 73 139 495 944). Eightcap is regulated by the Australian Securities & Investments Commission (ASIC) - AFSL number is 391441,0
Boston Merchant Financial-BMFN,https://www.allfxbrokers.com/forex-brokers/boston-merchant-financial-bmfn,YES,"FCA, FSC, FSPR, ASIC, The Bank of Russia, Central Bank of the United Arab Emirates.",0
BTFX,https://www.allfxbrokers.com/forex-brokers/btfx,YES,MFSA,0
Bulls Capital Markets,https://www.allfxbrokers.com/forex-brokers/bulls-capital-markets,YES,FSPR NZ,4.7
BullsEye Markets Ltd,https://www.allfxbrokers.com/forex-brokers/bullseye-markets-ltd,No,BullsEye Markets LTD is registered as a Financial Investment Firm by the Marshal Island Registration Number 96658,0
BuzzFX,https://www.allfxbrokers.com/forex-brokers/buzzfx,YES,"VFSC -Vanuatu (BuzzFX is a licensed forex trading brokerage, incorporated in Vanuatu and regulated by the Vanuatu Financial Services Commission (VFSC). License number: 14785, V0347/16)",0
CaesarTrade,https://www.allfxbrokers.com/forex-brokers/caesartrade,No,-,0
Capital Index,https://www.allfxbrokers.com/forex-brokers/capital-index,YES,FCA registration number 709693,0
Capital Investment Brokers Ltd-CIBFX,https://www.allfxbrokers.com/forex-brokers/capital-investment-brokers-ltd-cibfx,YES,VSFC #14637,4.8
Capital Street FX,https://www.allfxbrokers.com/forex-brokers/capital-street-fx,YES,"FSC - Mauritius (Capital Street Intermarkets Limited is fully licensed and regulated by the FSC Mauritius, as a Full Services Investment Dealer (excluding underwriting), under the licence number C112010690)",4.9
CapproFX,https://www.allfxbrokers.com/forex-brokers/capprofx,YES,FSP,0
CentroFX,https://www.allfxbrokers.com/forex-brokers/centrofx,YES,"CySEC (FSB South Africa Coming Soon - CentroFX is a brand operated and owned by R Capital Solutions Ltd, an investment firm with registration number HE329922, authorized and regulated by the Cyprus Securities and Exchange Commission (CySEC) with license number 246/14.)",5.0
CFDGlobal,https://www.allfxbrokers.com/forex-brokers/cfdglobal,YES,"CySEC, BaFin, CNMV, FCA, KNF",0
CFI Markets,https://www.allfxbrokers.com/forex-brokers/cfi-markets,YES,"CySec License No. 179/12, FCA Reg. No. 602588, BaFin Reg. No. 1338881, MiFID, ACIIF (CFI Markets Ltd, Company Registration: 303814, CIF licence: 179/12​​​​)",0
ChampionFX,https://www.allfxbrokers.com/forex-brokers/championfx,YES,Vanuatu Financial Services Commission (VFSC),0
Circle Markets,https://www.allfxbrokers.com/forex-brokers/circle-markets,YES,FSP - New Zealand,0
Circle Markets,https://www.allfxbrokers.com/forex-brokers/circle-markets,YES,FSP - New Zealand,0
City Credit Capital,https://www.allfxbrokers.com/forex-brokers/city-credit-capital,YES,"FCA, SFC,  Central Bank of Uruguay",0
City index,https://www.allfxbrokers.com/forex-brokers/city-index,YES,"FCA UK, MAS, CIMA, ASIC (City Index is a trading name of GAIN Capital UK Limited. GAIN Capital UK Ltd is a company registered in England and Wales, number: 1761813. Authorised and Regulated by the Financial Conduct Authority. FCA Register Number: 113942. VAT number: 524837435)",0
CIX Markets,https://www.allfxbrokers.com/forex-brokers/cix-markets,YES,"FCA - CIX Markets is a trading name of City Credit Capital (UK) Limited,12th Floor, 110 Bishopsgate, London EC2N 4AY. CCC is authorised and regulated by the Financial Conduct Authority. (FCA Registered Number 232015). CCC is registered in England and Wales under Companies' House. Registered Number 04343251.",0
ClickTrades,https://www.allfxbrokers.com/forex-brokers/clicktrades,YES,FSA Seychelles,4.1
CM Trading,https://www.allfxbrokers.com/forex-brokers/cm-trading,YES,FSB South Africa,4.7
CMC MARKETS,https://www.allfxbrokers.com/forex-brokers/cmc-markets,YES,FCA - CMC Markets UK plc (173730) and CMC Spreadbet plc (170627) are authorised and regulated by the Financial Conduct Authority in the United Kingdom.,0
CMS TRADER,https://www.allfxbrokers.com/forex-brokers/cms-trader,YES,VFSC,0
Coinexx,https://www.allfxbrokers.com/forex-brokers/coinexx,No,-,4.7
Core Liquidity Markets PTY LTD,https://www.allfxbrokers.com/forex-brokers/core-liquidity-markets-pty-ltd,YES,ASIC,0
Core Spreads,https://www.allfxbrokers.com/forex-brokers/core-spreads,YES,FCA UK (Core Spreads is a trading name of Finsa Europe Ltd (a company registered in England and Wales under number 07073413) which is authorised and regulated by the Financial Conduct Authority - under firm reference number 525164),0
DeltaStock,https://www.allfxbrokers.com/forex-brokers/deltastock,YES,Bulgarian Financial Supervision Commission (Licence No: RG-03-0146/25.02.2011) - a member of the ESMA (European Securities and Markets Authority).,0
Destek Markets UK Ltd,https://www.allfxbrokers.com/forex-brokers/destek-markets-uk-ltd,YES,FCA,0
DF Markets,https://www.allfxbrokers.com/forex-brokers/df-markets,YES,FCA UK,0
discountFX,https://www.allfxbrokers.com/forex-brokers/discountfx,YES,"CySEC (discountFX is a brand of GBE Brokers Ltd, regulated by the Cyprus Securities and Exchange Commission (CySEC) with CIF license number 240/14.)",0
DUBAI FXM LTD,https://www.allfxbrokers.com/forex-brokers/dubai-fxm-ltd,No,-,0
Dukascopy Bank SA,https://www.allfxbrokers.com/forex-brokers/dukascopy-bank-sa,YES,FINMA,0
Dukascopy Europe,https://www.allfxbrokers.com/forex-brokers/dukascopy-europe,YES,"FKTK, MiFID",0
DV Markets,https://www.allfxbrokers.com/forex-brokers/dv-markets,YES,"ASIC - DV Markets a registered trading name of Forex Financial Services Pty Ltd regulated by Australian Securities & Investments Commission (ASIC - Australian Financial Services Licence Number 323193). DV Markets Limited (SV) registered address Suite 305, Griffith Corporate Centre, Beachmont, Kingstown, St Vincent and the Grenadines.",0
EagleFX,https://www.allfxbrokers.com/forex-brokers/eaglefx,No,-,4.3
Easy-Forex,https://www.allfxbrokers.com/forex-brokers/easy-forex,YES,"CySec, ASIC",2.0
easyMarkets,https://www.allfxbrokers.com/forex-brokers/easymarkets,YES,"CySEC (License Number 079/07), ASIC (AFS license No. 246566). easyMarkets™ is a registered trademark.",0
ECN Prime,https://www.allfxbrokers.com/forex-brokers/ecn-prime,YES,Cayman Islands Monetary Authority (CIMA),0
EightCap,https://www.allfxbrokers.com/forex-brokers/eightcap,YES,ASIC (Services License 391441),2.8
ETX CAPITAL,https://www.allfxbrokers.com/forex-brokers/etx-capital,YES,FCA,0
EuromaxFX,https://www.allfxbrokers.com/forex-brokers/euromaxfx,No,-,0
EverFX,https://www.allfxbrokers.com/forex-brokers/everfx,YES,"CySEC (EverFX is a trade name of ICC Intercertus Capital Ltd., authorised and regulated by Cyprus Securities and Exchange Commission (CySEC) with license number 301/16)",0
Evolve Markets Ltd,https://www.allfxbrokers.com/forex-brokers/evolve-markets-ltd,No,-,0
Exclusive Capital,https://www.allfxbrokers.com/forex-brokers/exclusive-capital,YES,"Exclusive Capital is regulated by the Cyprus Securities and Exchange Commission (CySEC), under license number 330/17. Exclusive Capital adheres to the new MiFIDII policies unveiled in January 2018. The Markets in Financial Instruments Directive (MiFID) 2004/39/EC provides harmonised regulation for investment services across 31 member states of the EEA. Exclusive Capital is a member of the Investor Compensation Fund (ICF), in compliance with Law 87(I)/2017.",0
Exness,https://www.allfxbrokers.com/forex-brokers/exness,YES,Cysec,0
FBS,https://www.allfxbrokers.com/forex-brokers/fbs,YES,"International Financial Services Commission - IFSC/60/230/TS/12 , 20/12/2013 Centre for Regulation in OTC Financial Instruments and Technologies",0
Fibo Group,https://www.allfxbrokers.com/forex-brokers/fibo-group,YES,"CySec, FSC-BVI",0
Fidelis Capital Markets,https://www.allfxbrokers.com/forex-brokers/fidelis-capital-markets,YES,CySec,0
FinancialSpreads,https://www.allfxbrokers.com/forex-brokers/financialspreads,YES,"FCA UK (Financial Spreads is a trading name of Clear Investor Ltd. which is an appointed representative of FINSA Europe Ltd., company no: 07073413. FINSA Europe Ltd. is authorised and regulated by the Financial Conduct Authority, registered number 525164)",0
Financikatrade,https://www.allfxbrokers.com/forex-brokers/financikatrade,No,-,0
FinFX,https://www.allfxbrokers.com/forex-brokers/finfx,No,-,0
FinPro Trading,https://www.allfxbrokers.com/forex-brokers/finpro-trading,YES,FinPro Trading is owned and operated by Finvasia Group which is registered with Securities and Exchange Commission of America (KPDN Inc IARD/CRD Number: 152771 and SEC file number: 801-71208).,4.7
FirewoodFX Global Market,https://www.allfxbrokers.com/forex-brokers/firewoodfx-global-market,No,-,0
Fondex,https://www.allfxbrokers.com/forex-brokers/fondex,YES,Fondex is a tradename of TopFX Ltd which is registered as a Cyprus Investment Firm (CIF) and licensed by the Cyprus Securities and Exchange Commission (CySEC) under licence number 138/11.,4.6
Foreign Exchange Clearing House Ltd-FXCH,https://www.allfxbrokers.com/forex-brokers/foreign-exchange-clearing-house-ltd-fxch,No,-,1.3
Forest Park FX,https://www.allfxbrokers.com/forex-brokers/forest-park-fx,YES,"NFA, CFTC",0
Forex Broker Inc,https://www.allfxbrokers.com/forex-brokers/forex-broker-inc,No,N/A,0
Forex FS,https://www.allfxbrokers.com/forex-brokers/forex-fs,YES,ASIC,0
Forex Optimum Group,https://www.allfxbrokers.com/forex-brokers/forex-optimum-group,No,N/A,4.6
Forex Time-FXTM,https://www.allfxbrokers.com/forex-brokers/forex-time-fxtm,YES,"ForexTime Limited (www.forextime.com/eu) is regulated by the Cyprus Securities and Exchange Commission with CIF license number 185/12, licensed by the Financial Sector Conduct Authority (FSCA) of South Africa, with FSP No. 46614. The company is also registered with the Financial Conduct Authority of the UK with number 600475. Exinity Limited (www.forextime.com) is regulated by the Financial Services Commission (FSC) of the Republic of Mauritius with an Investment Dealer License bearing license number C113012295. Forextime UK Limited (www.forextime.com/uk) is authorised and regulated by the Financial Conduct Authority, firm reference number 777911.",0
FOREX.com,https://www.allfxbrokers.com/forex-brokers/forex-com,YES,"FCA UK, IIROC Canada, FSA Japan, SFC Hong Kong, NFA US, CIMA Cayman Islands, ASIC Australia, MAS Singapore",0
Forex.ee,https://www.allfxbrokers.com/forex-brokers/forex-ee,YES,Ministry of Economic Affairs in Estonia,0
Forex4you,https://www.allfxbrokers.com/forex-brokers/forex4you,YES,"Forex4you is the trademark of E-Global Trade & Finance Group, Inc. which is authorized and regulated by the FSC under the Securities and Investment Business Act, 2010 License#: SIBA/L/12/1027.",0
ForexCT,https://www.allfxbrokers.com/forex-brokers/forexct,YES,Forex Capital Trading Pty Ltd (‘ForexCT’) is an Australian-based company regulated by Australian Securities & Investments Commission (AFSL 306400),0
FOREXer,https://www.allfxbrokers.com/forex-brokers/forexer,YES,"States FSPR, FSCL (NZ has limited regulation), Central Bank of UAE",0
ForexMart,https://www.allfxbrokers.com/forex-brokers/forexmart,YES,Cyprus Securities Exchange (CySEC),4.1
Fort Financial Services-FortFS,https://www.allfxbrokers.com/forex-brokers/fort-financial-services-fortfs,YES,IFSC,4.6
Fortrade LTD,https://www.allfxbrokers.com/forex-brokers/fortrade-ltd,YES,"FCA UK (Fortrade Ltd. authorised and regulated in UK by the Financial Conduct Authority (FCA), Firm Reference Number (FRN): 609970.)",0
FP Markets,https://www.allfxbrokers.com/forex-brokers/fp-markets,YES,"ASIC, CySEC",0
FreshForex,https://www.allfxbrokers.com/forex-brokers/freshforex,YES,KROUFR,4.7
Fullerton Markets,https://www.allfxbrokers.com/forex-brokers/fullerton-markets,YES,FSP (New Zealand) License № FSP477046,0
FW Markets,https://www.allfxbrokers.com/forex-brokers/fw-markets,No,FW Markets LTD was registered in 2013 in Saint Vincent and the Grenadines under license number 20779 IBC 2013.,0
FX Primus,https://www.allfxbrokers.com/forex-brokers/fx-primus,YES,"CySEC (licence no. 261/14), VFSC & FSCA",0
FX Trading Pro,https://www.allfxbrokers.com/forex-brokers/fx-trading-pro,YES,"NFA, CFTC (FTP FINANCIAL LLC is a member of the National Futures Association (NFA 0509828) and is a registered introducing broker with the Commodity Futures Trading Commission (CFTC))",0
FX-EDGE TRADING VENUE,https://www.allfxbrokers.com/forex-brokers/fx-edge-trading-venue,YES,NFA,0
FX-Next,https://www.allfxbrokers.com/forex-brokers/fx-next,YES,FCA,0
FXBM,https://www.allfxbrokers.com/forex-brokers/fxbm,No,-,0
FXCC,https://www.allfxbrokers.com/forex-brokers/fxcc,YES,CySEC,4.6
FXChoice,https://www.allfxbrokers.com/forex-brokers/fxchoice,YES,IFSC (Licence number: IFSC/60/191/TS/19),0
FXCL,https://www.allfxbrokers.com/forex-brokers/fxcl,No,-,0
FXCM,https://www.allfxbrokers.com/forex-brokers/fxcm,YES,"ASIC, FCA, FSCA (formerly FSB) - FXCM Group is a holding company of Forex Capital Markets Limited, inclusive of all EU branches (FXCM UK), FXCM Australia Pty. Limited, (FXCM AU), and all affiliates of aforementioned firms, or other firms under the FXCM group of companies [collectively ""FXCM""]. Forex Capital Markets Limited (""FXCM LTD"") is authorised and regulated by FCA with Reg. no. 217689. FXCM Australia Pty. Limited (""FXCM AU"") is regulated by ASIC, AFSL 309763. FXCM AU ACN: 121934432. FXCM South Africa (PTY) Ltd Ltd is an authorized Financial Services Provider and is regulated by FSCA Reg. no. 46534. FXCM Markets Limited (""FXCM Markets"") is an operating subsidiary within the FXCM Group and is not regulated and not subject to the regulatory oversight that govern other FXCM Group entities. FXCM Global Services, LLC is an operating subsidiary within the FXCM Group and is not regulated and not subject to regulatory oversight.",0
FXFair,https://www.allfxbrokers.com/forex-brokers/fxfair,No,FXFair is not Regulated but strict requirements and quidelines by FSA - Saint Vincent are applied.,0
FXFINPRO Capital,https://www.allfxbrokers.com/forex-brokers/fxfinpro-capital,YES,"CySec, BaFin and FCA",5.0
FXFlat,https://www.allfxbrokers.com/forex-brokers/fxflat,YES,"FXFlat Wertpapierhandelsbank GmbH was founded in 1997. An independent online broker company, it has held the requisite approvals from and been supervised by the Federal Agency for Financial Services Supervision (BaFin) since 1998. Since 2015, FXFlat has been a securities trading bank.",0
FXGiants,https://www.allfxbrokers.com/forex-brokers/fxgiants,YES,FCA UK (FCA No. 585561),5.0
FXGlobe,https://www.allfxbrokers.com/forex-brokers/fxglobe,YES,CySEC,0
FXGlory,https://www.allfxbrokers.com/forex-brokers/fxglory,No,"In 2011, Fxglory Ltd was established in the Department of Economic Development of the U.A.E.",4.1
FXGM,https://www.allfxbrokers.com/forex-brokers/fxgm,YES,"FXGM is a brand name of Depaho Ltd, licenced and regulated by CySEC (license no. 161/11) and the FSCA (license no. 47709)",0
FxGrow,https://www.allfxbrokers.com/forex-brokers/fxgrow,YES,CYSEC,5.0
FxNet,https://www.allfxbrokers.com/forex-brokers/fxnet,YES,CySec,0
FxOnUs,https://www.allfxbrokers.com/forex-brokers/fxonus,No,-,0
FXOpen AU Pty Ltd,https://www.allfxbrokers.com/forex-brokers/fxopen-au-pty-ltd,YES,ASIC AFSL 412871 – ABN 61 143 678 719,5.0
FXOpen Markets Limited,https://www.allfxbrokers.com/forex-brokers/fxopen-markets-limited,No,FXOpen AU Pty Ltd  regulated by ASIC AFSL 412871 – ABN 61 143 678 719 and FXOpen Ltd is regulated FCA UK.,4.9
FXOpen UK,https://www.allfxbrokers.com/forex-brokers/fxopen-uk,YES,FCA UK,4.8
FxORO,https://www.allfxbrokers.com/forex-brokers/fxoro,YES,CYSEC,0
FXPIG,https://www.allfxbrokers.com/forex-brokers/fxpig,YES,"Prime Intermarket Group Asia Pacific Limited, doing business as FXPIG™, holds a Principal's License for dealing in securities, granted by the Minister of Finance and Economic Development of Vanuatu, under the arm of the Vanuatu Financial Services Commission (VFSC Company Number 014578)",0
FxPlayer Ltd,https://www.allfxbrokers.com/forex-brokers/fxplayer-ltd,No,-,0
FXPremax,https://www.allfxbrokers.com/forex-brokers/fxpremax,YES,FSP,5.0
FxPro,https://www.allfxbrokers.com/forex-brokers/fxpro,YES,"FCA, CySec",4.6
FXTPG,https://www.allfxbrokers.com/forex-brokers/fxtpg,No,-,4.0
FXtradeweb-FXTW,https://www.allfxbrokers.com/forex-brokers/fxtradeweb-fxtw,YES,FCA UK,0
GAIN CAPITAL,https://www.allfxbrokers.com/forex-brokers/gain-capital,YES,"NFA, CFTC, FCA UK, FSA Japan, FSC Hong Kong, ASIC, FINRA",0
GAINSY,https://www.allfxbrokers.com/forex-brokers/gainsy,No,-,0
GANN Markets,https://www.allfxbrokers.com/forex-brokers/gann-markets,YES,Gann Markets Corp. is regulated by the International Financial Services Commission of Belize (IFSC) under license number IFSC/60/152/TS/19,0
GBE brokers Ltd,https://www.allfxbrokers.com/forex-brokers/gbe-brokers-ltd,YES,CySEC (CIF license number 240/14),0
GCI Online Trading,https://www.allfxbrokers.com/forex-brokers/gci-online-trading,No,-,0
GDMFX,https://www.allfxbrokers.com/forex-brokers/gdmfx,YES,FSRP,0
GKFX Prime,https://www.allfxbrokers.com/forex-brokers/gkfx-prime,YES,"GKFX Prime is a global brokerage company and the brand name of International Finance House Ltd. GKFX Prime is regulated by Financial Services Committee, BVI SIBA/L/1066 and registered address at Craigmuir Chambers P.O Box 71, Road Town, Tortola, BVI.",5.0
Global Prime,https://www.allfxbrokers.com/forex-brokers/global-prime,YES,ASIC,0
GMO-Z.com Trade UK Limited,https://www.allfxbrokers.com/forex-brokers/gmo-z-com-trade-uk-limited,YES,FCA UK,0
GO Markets,https://www.allfxbrokers.com/forex-brokers/go-markets,YES,ASIC,2.5
GQFX,https://www.allfxbrokers.com/forex-brokers/gqfx,YES,"GQFX website is operated by GQ Capital brand. GQ Capital Inc. registered in Belize (No. 156858) , authorized by International Financial Services Commission (IFSC), license number IFSC/60/445/TS/19.",0
Grand Capital,https://www.allfxbrokers.com/forex-brokers/grand-capital,YES,"KROUFR, CRFIN",5.0
Grinta-Invest,https://www.allfxbrokers.com/forex-brokers/grinta-invest,No,-,5.0
GSI Markets LTD,https://www.allfxbrokers.com/forex-brokers/gsi-markets-ltd,YES,MKM (Ministry of Economic Affairs and Communications),1.0
GTCM,https://www.allfxbrokers.com/forex-brokers/gtcm,YES,"GTCM is a brand name of Depaho Ltd, licenced and regulated by CySEC (licence no. 161/11) and the FSCA (licence no. 47709).",0
Hadwins Capital Ltd,https://www.allfxbrokers.com/forex-brokers/hadwins-capital-ltd,YES,FCA UK (FRN 583632),0
Hantec markets,https://www.allfxbrokers.com/forex-brokers/hantec-markets,YES,UK Financial Conduct Authority (FCA),0
Hirose Financial UK,https://www.allfxbrokers.com/forex-brokers/hirose-financial-uk,YES,FCA UK,0
HiWayFX,https://www.allfxbrokers.com/forex-brokers/hiwayfx,YES,CySec,4.0
HotForex,https://www.allfxbrokers.com/forex-brokers/hotforex,YES,CySEC,1.8
